"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"17-Oct-2022","EQ","132.00","132.70","129.10","130.35","131.90","131.50","131.19","132.70","78.60",34812065,"4,567,125,094.80",124424
"14-Oct-2022","EQ","127.00","132.20","125.10","124.90","130.75","130.35","129.36","132.20","78.60",64043276,"8,284,942,487.50",200535
"13-Oct-2022","EQ","125.55","126.75","124.40","125.60","124.90","124.90","125.63","129.75","78.60",18586183,"2,334,923,504.55",52784
"12-Oct-2022","EQ","123.30","125.90","121.80","122.40","125.60","125.60","124.11","129.75","78.60",17110533,"2,123,594,645.90",53071
"11-Oct-2022","EQ","121.80","124.20","121.05","121.35","122.50","122.40","122.61","129.75","78.60",15549812,"1,906,605,775.95",57448
"10-Oct-2022","EQ","121.00","122.00","120.10","122.85","121.20","121.35","121.13","129.75","78.60",8985222,"1,088,383,060.30",28864
"07-Oct-2022","EQ","120.50","123.20","118.75","120.85","122.75","122.85","121.25","129.75","78.60",15447242,"1,872,909,942.65",45940
"06-Oct-2022","EQ","121.45","122.20","120.40","120.85","120.65","120.85","121.50","129.75","78.60",9762115,"1,186,073,230.10",35060
"04-Oct-2022","EQ","118.80","121.15","118.75","116.30","120.80","120.85","120.13","129.75","78.60",10509831,"1,262,567,653.95",42091
"03-Oct-2022","EQ","119.35","121.50","115.90","118.75","116.90","116.30","118.38","129.75","78.60",20472858,"2,423,677,107.40",60407
"30-Sep-2022","EQ","112.70","119.50","111.40","113.00","119.35","118.75","116.30","129.75","78.60",17967686,"2,089,726,534.55",54655
"29-Sep-2022","EQ","113.50","114.55","111.00","111.85","113.00","113.00","112.62","129.75","78.60",12297229,"1,384,873,654.30",44339
"28-Sep-2022","EQ","112.70","114.10","111.55","114.40","111.85","111.85","112.80","129.75","78.60",10117759,"1,141,312,747.55",36460
